# ======================================		
# Most common: Found on Miku Append, Mirai Akari and Shishiro Botan		
## Meme(?) face with longer and pointier nose and chin like :^>		
Handsome	ハンサム	Higher Sard
## Results in a less pointy chin		
Chin Contour	輪郭	Contour
Stars In Eyes	星目	Star Eye
Pupil Vertical Collapse	瞳縦潰れ	Pupil Vertical Collapse
Highlight Lower	光下	Light Lower
Gloom	がーん	Gloom
Breast Shrink	みっぱい	Body Forever Ch
Glasses	メガネ	Glasses
# ======================================		
# Mirai Akari only		
Ah2	あ2	Ah2
Ah3	あ3	Ah3
Ah Angry	あ怒る	Ah GetAngry
Ah Tsudere	あ狂った	Ah Gone Crazy
Oh Small	お小さい	Oh Small Difference Ch
Kiss	キッス	Kiss
	トップリップ	Top -lip
	ボトムリップ	Bottom Lip
	ええ？	E E ?
	いー！	Ch ー !
	V	
	ω開く	ω Open Nine
	ワアアア!	Wa Aaaa!
	ええ!	E E!
	口下げ	Mouth Lower
	口上げ	Mouth Raise
	口すぼめる	Mouth Shrink
	左口横広げ	Left Mouth Side Widen
	右口横広げ	Right Mouth Side Widen
	上歯上げ	Upper Teeth Raise
	下歯下げ	Lower Teeth Lower
	上歯を隠す	Upper Teeth wo Hide Vinegar
	下歯を隠す	Lower Teeth wo Hide Vinegar
	犬歯右	Dog Teeth Right
	犬歯左	Dog Teeth Left
	歯右2	Teeth Right2
	歯左2	Teeth Left2
	下まぶた上げ	Lower Eyelid Raise
Anger-eye	恐ろしい	Horror Ch
	星目1	Star Eye1
Star Eyes 2	星目2	Star Eye2
Eye Highlight Star	スターライト	Starlight
Round Eyes	丸い目	Circle Ch Eye
	ｺｯﾁﾐﾝﾅ	Kochminna
	怒り眉	Anger Eyebrow
	失望した	Was Disappointed
	にこり眉	Cheerful Eyebrow
	困った	Troubled
	動揺	Movement Shake
	眉上	Eyebrow Upper
	眉下	Eyebrow Lower
	右眉怒り	Right Eyebrow Anger
	左眉怒り	Left Eyebrow Anger
	はぁ？眉	Haa ? Eyebrow
	はぁ？眉2	Haa ? Eyebrow2
	眉毛を前方に	Eyebrow Strand wo Front Towards
	右眉下げ	Right Eyebrow Lower
	左眉下げ	Left Eyebrow Lower
	右眉上げ	Right Eyebrow Raise
	左眉上げ	Left Eyebrow Raise
Blush1	照れ1	Blush1
Blush2	照れ2	Blush2
	右怒筋	Right Anger Muscle
	左怒筋	Left Anger Muscle
	メガネスケール	Glasses Scale
# ======================================		
# Shishiro Botan only:		
Eyebrows Angry_2	怒り_2	Anger_2
Eyebrows Serious_2	真面目_2	Serious_2
Eyebrows Sad_2	困る_2	Sadness_2
## This is a rotation of the eyebrows that results in a similar to 困る (Sad)		
Eyebrows Huh	ハ	Higher
Eyebrows Inwards	寄せ	Tangent
## For Botan, this is びっくり without shrinking the irises		
Surprised_2	びっくり_2	Surprised_2
## For Botan, this is なごみ without the highlights on the eyelashes		
Calm_2	なごみ_2	Calm_2
## Same as じと目 (Stare)		
Stare Eyes	ジト目	Jito Eye
Eye Highlight Expand	ハイライト拡大	Highlight Expand Big
Eye Highlight Hide	ハイライト消	Highlight Extinguishing
Pupils Up	瞳_上	Pupil_ Upper
Pupils Down	瞳_下	Pupil_ Lower
Pupils Left	瞳_左	Pupil_ Left
Pupils Right	瞳_右	Pupil_ Right
Outer Eye Corner Raise	目尻_上げ	Eye Butt_ Raise
Outer Eye Corner Lower	目尻_下げ	Eye Butt_ Lower
Inner Eye Corner Lower	目頭_下げ	Eye Head_ Lower
Inner Eye Corner Raise	目頭_上げ	Eye Head_ Raise
Lower Eyelashes Raise	下まつ毛上げ	Lower Pine Strand Raise
Lower Eyelashes Lower	下まつ毛下げ	Lower Pine Strand Lower
## Irises and pupils replaced with a spiral pattern		
Spiral Eyes	ぐるぐる目	Round And Round Eye
## Pupils removed and irises replaced with a blank, soulless look		
Despair Eyes	絶望	Disappointment
Hearts In Eyes	ハート目	Heart Eye
## Same as Stars In Eyes		
Glittering Eyes	きらきら目	Glitter Eye
	横潰し	Side Crush
	縦潰し	Vertical Crush
	丸目	Circle Eye
	白目	White Eye
	カメラ目線	Camera Eye Line
	▲_2	
	がたがた	Gag
	むふふ	Mufufu
	てへぺろ_上	TehHeh Lick_ Upper
	横伸ばし	Side Extend Brush
	にひひ	Hihi
	にひひ_2	Hihi_2
	ムッ	Muzu
	ムッ_2	Muzu_2
	叫ぶ	Call Out
	にこり口	Cheerful Mouth
	大笑い	Big Blink Happy
	くいしばる	Nine Ch Be
	結ぶ	Connection Flutter
	青ざめ	Pale
	ムカッ	Mukac
	汗	Sweat
	歯消し	Teeth Extinguishing
	下歯消し	Lower Teeth Extinguishing
	耳立て	Ears Stand Up
	耳寝	Ears Sleeping
	イカ耳	Squid Ears
	ぼわっ	Blurring
# ======================================		
# Extras from Xoriu's MMD Chart		
Eye Highlight Hide	ハイライト消	Highlight Extinguishing
Eye Reflection Hide	映り込み消	Reflection Body Extinguishing
## 笑い + 下 (Happy Blink + Eyebrows Lower)		
Joy	喜び	Joy FacialExpression
Wow?!	わぉ?!	Wow?!
## なごみ + ω (Calm + ω)		
Calm ω	なごみω	Calm ω
Sorrow	悲しむ	Sorrow
Hostility	敵意	Hostility
# ======================================		
# From other models:		
## often a blush from cheek to cheek like when anime/manga characters are drunk		
Blush 2	照れ２	Blush 2
